time, name, version, hash_source, binaries, binaries_size
20150501042823,ply,3.4-5,87426c67d2d15cae30258172cb0e34ce,"python-ply python3-ply python-ply-doc",205496
20150501042823,pmailq,0.5-2,9e4578cc9b2cdcdc342e09dec8763bb6,"pmailq",8748
20150501042823,popularity-contest,1.61,0091c1f2e7551a6ee4a5844672140b86,"popularity-contest",73338
20150501042823,psmisc,22.21-2,4a5815958110963990f6b3c591f57615,"psmisc",119368
20150501042823,puppet-module-puppetlabs-postgresql,4.0.0-2,da8d1b5f46fd77176b55c00326bca426,"puppet-module-puppetlabs-postgresql",44526
20150501042823,qdacco,0.8.2-1,b417df63ac5c4f687ed7d77ab7789beb,"qdacco libqdaccolib-dev libqdaccolib0.7",197106
20150501042823,ruby-bacon,1.2.0-4,151cb80d26abd0f3999c7940f9b53845,"ruby-bacon",14868
20150501042823,sed,4.2.2-4,ed59782a943bb1f889bb64e96ac7d1f1,"sed",243050
20150501042823,slice,1.3.8-12,f9c7819a7577c007232f4785e70412a4,"slice",26040
20150501042823,sshfs-fuse,2.5-1,32515448929b2f567d055736dd1c9f4f,"sshfs sshfs-dbg",166584
20150501042823,systraq,0.0.20081217-7,248b70d51702698b4b5edbc63377b1b2,"systraq",534578
20150501042823,sysvinit,2.88dsf-59,5cace76d30eb1b0ded39327cc5d493f5,"sysvinit sysvinit-core sysvinit-utils sysv-rc initscripts bootlogd",545110
20150501042823,tar,1.27.1-2,034a3da433345270e0434f81b040c6ef,"tar tar-scripts",696428
